lead_id,sent_date,score_range,price
14187812,2023-06-21,[630+],168000.0
14187888,2023-06-21,[630+],168000.0
14187914,2023-06-21,[630+],168000.0
14187915,2023-06-21,[630+],168000.0
14188492,2023-06-21,[630+],168000.0
14188562,2023-06-21,[630+],168000.0
14188587,2023-06-21,[630+],168000.0
14188817,2023-06-21,[630+],168000.0
14188976,2023-06-21,[630+],168000.0
14189134,2023-06-21,[630+],168000.0
14189137,2023-06-21,[630+],168000.0
14189703,2023-06-22,[630+],168000.0
14189752,2023-06-22,[630+],168000.0
14189800,2023-06-22,[630+],168000.0
14190112,2023-06-22,[630+],168000.0
14190168,2023-06-22,[630+],168000.0
14190603,2023-06-22,[630+],168000.0
14190633,2023-06-22,[630+],168000.0
14190765,2023-06-22,[630+],168000.0
14190795,2023-06-22,[630+],168000.0
14190902,2023-06-22,[630+],168000.0
14191054,2023-06-22,[630+],168000.0
14191131,2023-06-22,[630+],168000.0
14191174,2023-06-22,[630+],168000.0
14191237,2023-06-22,[630+],168000.0
14191318,2023-06-22,[630+],168000.0
14191396,2023-06-22,[630+],168000.0
14191649,2023-06-22,[630+],168000.0
14191711,2023-06-22,[630+],168000.0
14191728,2023-06-22,[630+],168000.0
14191956,2023-06-22,[630+],168000.0
14192003,2023-06-22,[630+],168000.0
14192030,2023-06-22,[630+],168000.0
14192286,2023-06-23,[630+],168000.0
14192313,2023-06-23,[630+],168000.0
14192325,2023-06-23,[630+],168000.0
14192703,2023-06-23,[630+],168000.0
14193018,2023-06-23,[630+],168000.0
14193097,2023-06-23,[630+],168000.0
14193168,2023-06-23,[630+],168000.0
14193200,2023-06-23,[630+],168000.0
14193379,2023-06-23,[630+],168000.0
14193939,2023-06-23,[630+],168000.0
14194071,2023-06-23,[630+],168000.0
14194297,2023-06-23,[630+],168000.0
14194325,2023-06-23,[630+],168000.0
14194430,2023-06-23,[630+],168000.0
14194564,2023-06-23,[630+],168000.0
14194682,2023-06-23,[630+],168000.0
14194738,2023-06-23,[630+],168000.0
14195047,2023-06-23,[630+],168000.0
14195242,2023-06-24,[630+],168000.0
14195272,2023-06-24,[630+],168000.0
14195428,2023-06-24,[630+],168000.0
14195494,2023-06-24,[630+],168000.0
14195509,2023-06-24,[630+],168000.0
14195545,2023-06-24,[630+],168000.0
14195985,2023-06-24,[630+],168000.0
14196023,2023-06-24,[630+],168000.0
14196113,2023-06-24,[630+],168000.0
14196575,2023-06-24,[630+],168000.0
14196577,2023-06-24,[630+],168000.0
14197047,2023-06-24,[630+],168000.0
14197460,2023-06-25,[630+],168000.0
14197463,2023-06-25,[630+],168000.0
14197484,2023-06-25,[630+],168000.0
14197608,2023-06-25,[630+],168000.0
14197800,2023-06-25,[630+],168000.0
14197912,2023-06-25,[630+],168000.0
14198681,2023-06-25,[630+],168000.0
14198792,2023-06-25,[630+],168000.0
14198871,2023-06-25,[630+],168000.0
14198897,2023-06-25,[630+],168000.0
14198967,2023-06-25,[630+],168000.0
14199046,2023-06-25,[630+],168000.0
14199136,2023-06-25,[630+],168000.0
14199219,2023-06-25,[630+],168000.0
14199299,2023-06-25,[630+],168000.0
14199355,2023-06-25,[630+],168000.0
14199409,2023-06-25,[630+],168000.0
14199496,2023-06-25,[630+],168000.0
14199722,2023-06-25,[630+],168000.0
14199757,2023-06-25,[630+],168000.0
14199842,2023-06-25,[630+],168000.0
14199899,2023-06-25,[630+],168000.0
14200193,2023-06-25,[630+],168000.0
14200213,2023-06-25,[630+],168000.0
14200244,2023-06-25,[630+],168000.0
14200444,2023-06-25,[630+],168000.0
14200485,2023-06-26,[630+],168000.0
14200515,2023-06-26,[630+],168000.0
14200538,2023-06-26,[630+],168000.0
14200883,2023-06-26,[630+],168000.0
14201163,2023-06-26,[630+],168000.0
14201339,2023-06-26,[630+],168000.0
14201456,2023-06-26,[630+],168000.0
14201859,2023-06-26,[630+],168000.0
14201904,2023-06-26,[630+],168000.0
14201916,2023-06-26,[630+],168000.0
14201925,2023-06-26,[630+],168000.0
14201947,2023-06-26,[630+],168000.0
14202023,2023-06-26,[630+],168000.0
14202071,2023-06-26,[630+],168000.0
14202085,2023-06-26,[630+],168000.0
14202169,2023-06-26,[630+],168000.0
14202311,2023-06-26,[630+],168000.0
14202426,2023-06-26,[630+],168000.0
14202590,2023-06-26,[630+],168000.0
14202661,2023-06-26,[630+],168000.0
14202887,2023-06-26,[630+],168000.0
14203122,2023-06-26,[630+],168000.0
14203299,2023-06-26,[630+],168000.0
14203353,2023-06-26,[630+],168000.0
14203355,2023-06-26,[630+],168000.0
14203623,2023-06-27,[630+],168000.0
14203706,2023-06-27,[630+],168000.0
14203856,2023-06-27,[630+],168000.0
14204268,2023-06-27,[630+],168000.0
14204444,2023-06-27,[630+],168000.0
14204662,2023-06-27,[630+],168000.0
14204842,2023-06-27,[630+],168000.0
14205044,2023-06-27,[630+],168000.0
14205085,2023-06-27,[630+],168000.0
14205186,2023-06-27,[630+],168000.0
14205385,2023-06-27,[630+],168000.0
14205518,2023-06-27,[630+],168000.0
14205617,2023-06-27,[630+],168000.0
14205697,2023-06-27,[630+],168000.0
14205743,2023-06-27,[630+],168000.0
14205876,2023-06-27,[630+],168000.0
14206172,2023-06-27,[630+],168000.0
14206182,2023-06-27,[630+],168000.0
14206294,2023-06-27,[630+],168000.0
14206454,2023-06-27,[630+],168000.0
14206508,2023-06-28,[630+],168000.0
14206591,2023-06-28,[630+],168000.0
14206701,2023-06-28,[630+],168000.0
14206729,2023-06-28,[630+],168000.0
14206791,2023-06-28,[630+],168000.0
14207226,2023-06-28,[630+],168000.0
14207299,2023-06-28,[630+],168000.0
14207376,2023-06-28,[630+],168000.0
14207701,2023-06-28,[630+],168000.0
14207905,2023-06-28,[630+],168000.0
14208152,2023-06-28,[630+],168000.0
14208170,2023-06-28,[630+],168000.0
14208212,2023-06-28,[630+],168000.0
14208466,2023-06-28,[630+],168000.0
14208693,2023-06-28,[630+],168000.0
14208860,2023-06-28,[630+],168000.0
14208879,2023-06-28,[630+],168000.0
14209441,2023-06-28,[630+],168000.0
14209760,2023-06-28,[630+],168000.0
14209768,2023-06-28,[630+],168000.0
14209813,2023-06-29,[630+],168000.0
14209911,2023-06-29,[630+],168000.0
14209955,2023-06-29,[630+],168000.0
14210005,2023-06-29,[630+],168000.0
14210052,2023-06-29,[630+],168000.0
14210479,2023-06-29,[630+],168000.0
14210564,2023-06-29,[630+],168000.0
14210870,2023-06-29,[630+],168000.0
14211631,2023-06-29,[630+],168000.0
14211723,2023-06-29,[630+],168000.0
14211839,2023-06-29,[630+],168000.0
14211843,2023-06-29,[630+],168000.0
14211888,2023-06-29,[630+],168000.0
14212481,2023-06-29,[630+],168000.0
14212674,2023-06-29,[630+],168000.0
14212989,2023-06-29,[630+],168000.0
14213094,2023-06-29,[630+],168000.0
14213272,2023-06-30,[630+],168000.0
14213594,2023-06-30,[630+],168000.0
14213709,2023-06-30,[630+],168000.0
14213985,2023-06-30,[630+],168000.0
14214530,2023-06-30,[630+],168000.0
14214535,2023-06-30,[630+],168000.0
14214563,2023-06-30,[630+],168000.0
14214659,2023-06-30,[630+],168000.0
14214939,2023-06-30,[630+],168000.0
14215050,2023-06-30,[630+],168000.0
14215062,2023-06-30,[630+],168000.0
14215080,2023-06-30,[630+],168000.0
